readcode5B,desc
65E..,Influenza vaccination
65E0.,First pandemic influenza vaccination
65E00,Administration of first intranasal pandemic influenza vacc
65E1.,Second pandemic influenza vaccination
65E10,Administration of second intranasal pandemic influenza vacc
65E2.,Influenza vaccination given by other healthcare provider
65E20,Seasonal influenza vaccin given by other healthcare provider
65E21,First intranasal seasonal flu vacc gvn by othr hlthcare prov
65E22,Secnd intranasal seasonal flu vacc gvn by othr hlthcare prov
65E23,2nd intramuscular seasonal influenza vacc given by other HCP
65E24,1st intramuscular seasonal influenza vacc given by other HCP
65E3.,1st pandemic influenza vacc give by other healthcare providr
65E30,First intranasal pndmc influenza vcc gvn othr hlthcare prvdr
65E4.,2nd pandemic influenza vacc give by other healthcare providr
65E5.,CELVAPAN - first influenza A (H1N1v) 2009 vaccination given
65E6.,CELVAPAN - second influenza A (H1N1v) 2009 vaccination given
65E7.,CELVAPAN - 1st flu A (H1N1v) 2009 vacc by othr hlth provider
65E8.,CELVAPAN - 2nd flu A (H1N1v) 2009 vacc by othr hlth provider
65E9.,PANDEMRIX - first influenza A (H1N1v) 2009 vaccination given
65EA.,PANDEMRIX - second influenza A (H1N1v) 2009 vaccination give
65EB.,PANDEMRIX - 1st flu A (H1N1v) 2009 vac by othr hlth provider
65EC.,PANDEMRIX - 2nd flu A (H1N1v) 2009 vac by othr hlth provider
65ED.,Seasonal influenza vaccination
65ED0,Seasonal influenza vaccination given by pharmacist
65ED1,Administration of first intranasal seasonal influenza vacc
65ED2,Seasonal influenza vaccination given while hospital inpt
65ED3,Administration of second intranasal seasonal influenza vacc
65ED4,Administration of first inactivated seasonal influenza vacc
65ED5,Administration of second inactivated seasonal influenza vacc
65ED6,First intranasal seasonal influenza vaccination given by pharmacist
65ED7,Second intranasal seasonal influenza vaccination given by pharmacist
65ED8,First inactivated seasonal influenza vaccination given by pharmacist
65ED9,Second inactivated seasonal influenza vaccination given by pharmacist
65EE.,Administration of intranasal influenza vaccination
65EE0,Administration of first intranasal influenza vaccination
65EE1,Administration of second intranasal influenza vaccination
n47..,INFLUENZA VACCINES
n471.,FLUVIRIN prefilled syringe 0.5mL
n472.,INFLUVAC SUB-UNIT prefilled syringe 0.5mL
n473.,INFLUVAC SUB-UNIT prefilled syringe 0.5mL
n474.,INFLUVAC SUB-UNIT vials 5mL
n475.,INFLUVAC SUB-UNIT vials 25mL
n476.,MFV-JECT prefilled syringe 0.5mL
n477.,INACTIVATED INFLUENZA VACCINE injection 0.5mL
n478.,INACTIVATED INFLUENZA VACCINE prefilled syringe 0.5mL
n479.,INFLUENZA VACCINE vials 5mL
n47C.,PREFLUCEL suspension for injection prefilled syringe 0.5mL
n47D.,FLUENZ nasal suspension 0.2mL
n47E.,INFLUENZA VACCINE (LIVE ATTENUATED) nasal suspension 0.2mL
n47F.,OPTAFLU suspension for injection prefilled syringe 0.5mL
n47G.,INFLUVAC DESU suspension for injection prefill syringe 0.5mL
n47H.,FLUARIX TETRA suspension for injection prefill syringe 0.5mL
n47I.,FLUENZ TETRA nasal spray suspension 0.2mL
n47a.,INFLUENZA VACCINE vials 25mL
n47b.,FLUZONE prefilled syringe 0.5mL
n47c.,FLUZONE vials 5mL
n47d.,FLUARIX VACCINE prefilled syringe
n47e.,BEGRIVAC VACCINE prefilled syringe 0.5mL
n47f.,AGRIPPAL VACCINE prefilled syringe 0.5mL
n47g.,INACT INFLUENZA VACC (SPLIT VIRION) prefilled syringe 0.5mL
n47h.,INACT INFLUENZA VAC(SURFACE ANTIGEN SUB-UNIT) syringe 0.5mL
n47i.,INFLEXAL BERNA V prefilled syringe 0.5mL
n47j.,MASTAFLU prefilled syringe 0.5mL
n47k.,INFLEXAL V prefilled syringe 0.5mL
n47l.,INVIVAC prefilled syringe 0.5mL
n47m.,ENZIRA prefilled syringe 0.5mL
n47n.,VIROFLU prefilled syringe 0.5mL
n47o.,IMUVAC prefilled syringe 0.5mL
n47p.,INTANZA 15micrograms/strain susp for inj pfs 0.1mL
n47q.,INACT INFLUENZA VACC (SPLIT VIRION) 15mcg/strain pfs 0.1mL
n47u.,INTANZA 9micrograms/strain susp for inj pfs 0.1mL
n47v.,INACT INFLUENZA VACC (SPLIT VIRION) 9mcg/strain pfs 0.1mL
n47y.,INACT INFLUENZA VACC (SPLIT VIRION) prefilled syringe 0.25mL
n47z.,INACT INFLUENZA VACC (SURFACE ANTIGEN VIROSOME) syr 0.5mL
