category,readcode5B,desc
Depression,62T1.,Puerperal depression
Depression,8BK0.,Depression management programme
Depression,9H90.,Depression annual review
Depression,9H91.,Depression medication review
Depression,9H92.,Depression interim review
Depression,E0013,Presenile dementia with depression
Depression,E002.,Senile dementia with depressive or paranoid features
Depression,E0021,Senile dementia with depression
Depression,E002z,Senile dementia with depressive or paranoid features NOS
Depression,E0043,Arteriosclerotic dementia with depression
Depression,E112.,Single major depressive episode
Depression,E1120,"Single major depressive episode, unspecified"
Depression,E1121,"Single major depressive episode, mild"
Depression,E1122,"Single major depressive episode, moderate"
Depression,E1123,"Single major depressive episode, severe, without psychosis"
Depression,E1124,"Single major depressive episode, severe, with psychosis"
Depression,E112z,Single major depressive episode NOS
Depression,E113.,Recurrent major depressive episode
Depression,E1130,"Recurrent major depressive episodes, unspecified"
Depression,E1131,"Recurrent major depressive episodes, mild"
Depression,E1132,"Recurrent major depressive episodes, moderate"
Depression,E1133,"Recurrent major depressive episodes, severe, no psychosis"
Depression,E1137,Recurrent depression
Depression,E113z,Recurrent major depressive episode NOS
Depression,E118.,Seasonal affective disorder
Depression,E11y2,Atypical depressive disorder
Depression,E11z2,Masked depression
Depression,E130.,Reactive depressive psychosis
Depression,E135.,Agitated depression
Depression,E2003,Anxiety with depression
Depression,E204.,Neurotic depression reactive type
Depression,E2112,Depressive personality disorder
Depression,E290.,Brief depressive reaction
Depression,E290z,Brief depressive reaction NOS
Depression,E291.,Prolonged depressive reaction
Depression,E2B..,Depressive disorder NEC
Depression,E2B0.,Postviral depression
Depression,E2B1.,Chronic depression
Depression,Eu204,[X]Post-schizophrenic depression
Depression,Eu251,"[X]Schizoaffective disorder, depressive type"
Depression,Eu32.,[X]Depressive episode
Depression,Eu320,[X]Mild depressive episode
Depression,Eu321,[X]Moderate depressive episode
Depression,Eu322,[X]Severe depressive episode without psychotic symptoms
Depression,Eu323,[X]Severe depressive episode with psychotic symptoms
Depression,Eu324,[X]Mild depression
Depression,Eu325,"[X]Major depression, mild"
Depression,Eu326,"[X]Major depression, moderately severe"
Depression,Eu327,"[X]Major depression, severe without psychotic symptoms"
Depression,Eu32y,[X]Other depressive episodes
Depression,Eu32z,"[X]Depressive episode, unspecified"
Depression,Eu33.,[X]Recurrent depressive disorder
Depression,Eu330,"[X]Recurrent depressive disorder, current episode mild"
Depression,Eu331,"[X]Recurrent depressive disorder, current episode moderate"
Depression,Eu332,[X]Recurr depress disorder cur epi severe without psyc sympt
Depression,Eu333,[X]Recurrent depress disorder cur epi severe with psyc symp
Depression,Eu33y,[X]Other recurrent depressive disorders
Depression,Eu33z,"[X]Recurrent depressive disorder, unspecified"
Depression,Eu341,[X]Dysthymia
Depression,Eu412,[X]Mixed anxiety and depressive disorder
Depression resolved,212S.,Depressions Resolved
Depression screening,6891.,Depression screen
Depression screening,68910,Assessment using Whooley depression screen
Depression screening,6896.,Depression screening using questions
Depression screening,ZV790,[V]Screening for depression
Depression screening declined,8IH31,Depression screening declined
