category,readcode5B,desc
Diabetes,C10..,Diabetes mellitus
Diabetes,C100.,Diabetes mellitus with no mention of complication
Diabetes,C1000,Insulin dependent diabetes mellitus
Diabetes,C1000,"Diabetes mellitus, juvenile type, no mention of complication"
Diabetes,C1001,Non-insulin dependent diabetes mellitus
Diabetes,C1001,"Diabetes mellitus, adult onset, no mention of complication"
Diabetes,C1001,Maturity onset diabetes
Diabetes,C100z,Diabetes mellitus NOS with no mention of complication
Diabetes,C101.,Diabetes mellitus with ketoacidosis
Diabetes,C1010,"Diabetes mellitus, juvenile type, with ketoacidosis"
Diabetes,C1011,"Diabetes mellitus, adult onset, with ketoacidosis"
Diabetes,C101y,Other specified diabetes mellitus with ketoacidosis
Diabetes,C101z,Diabetes mellitus NOS with ketoacidosis
Diabetes,C102.,Diabetes mellitus with hyperosmolar coma
Diabetes,C1020,"Diabetes mellitus, juvenile type, with hyperosmolar coma"
Diabetes,C1021,"Diabetes mellitus, adult onset, with hyperosmolar coma"
Diabetes,C102z,Diabetes mellitus NOS with hyperosmolar coma
Diabetes,C103.,Diabetes mellitus with ketoacidotic coma
Diabetes,C1030,"Diabetes mellitus, juvenile type, with ketoacidotic coma"
Diabetes,C1031,"Diabetes mellitus, adult onset, with ketoacidotic coma"
Diabetes,C103y,Other specified diabetes mellitus with coma
Diabetes,C103z,Diabetes mellitus NOS with ketoacidotic coma
Diabetes,C104.,Diabetes mellitus with renal manifestation
Diabetes,C104.,Diabetic nephropathy
Diabetes,C1040,"Diabetes mellitus, juvenile type, with renal manifestation"
Diabetes,C1041,"Diabetes mellitus, adult onset, with renal manifestation"
Diabetes,C104y,Other specified diabetes mellitus with renal complications
Diabetes,C104z,Diabetes mellitis with nephropathy NOS
Diabetes,C105.,Diabetes mellitus with ophthalmic manifestation
Diabetes,C1050,"Diabetes mellitus, juvenile type, + ophthalmic manifestation"
Diabetes,C1051,"Diabetes mellitus, adult onset, + ophthalmic manifestation"
Diabetes,C105y,Other specified diabetes mellitus with ophthalmic complicatn
Diabetes,C105z,Diabetes mellitus NOS with ophthalmic manifestation
Diabetes,C106.,Diabetes mellitus with polyneuropathy
Diabetes,C106.,Diabetes mellitus with neuropathy
Diabetes,C106.,Diabetes mellitus with neurological manifestation
Diabetes,C106.,Diabetic amyotrophy
Diabetes,C1060,"Diabetes mellitus, juvenile, + neurological manifestation"
Diabetes,C1061,"Diabetes mellitus, adult onset, + neurological manifestation"
Diabetes,C106y,Other specified diabetes mellitus with neurological comps
Diabetes,C106z,Diabetes mellitus NOS with neurological manifestation
Diabetes,C107.,Diabetes mellitus with gangrene
Diabetes,C107.,Diabetes with gangrene
Diabetes,C107.,Diabetes mellitus with peripheral circulatory disorder
Diabetes,C1070,"Diabetes mellitus, juvenile +peripheral circulatory disorder"
Diabetes,C1071,"Diabetes mellitus, adult, + peripheral circulatory disorder"
Diabetes,C1072,"Diabetes mellitus, adult with gangrene"
Diabetes,C1073,IDDM with peripheral circulatory disorder
Diabetes,C1074,NIDDM with peripheral circulatory disorder
Diabetes,C107y,Other specified diabetes mellitus with peripheral circulatory complications
Diabetes,C107z,Diabetes mellitus NOS with peripheral circulatory disorder
Diabetes,C108.,Insulin dependent diabetes mellitus
Diabetes,C108.,Type I diabetes mellitus
Diabetes,C108.,Type 1 diabetes mellitus
Diabetes,C108.,IDDM-Insulin dependent diabetes mellitus
Diabetes,C1080,Type I diabetes mellitus with renal complications
Diabetes,C1080,Type 1 diabetes mellitus with renal complications
Diabetes,C1080,Insulin-dependent diabetes mellitus with renal complications
Diabetes,C1081,Insulin-dependent diabetes mellitus with ophthalmic comps
Diabetes,C1082,Type 1 diabetes mellitus with neurological complications
Diabetes,C1082,Insulin-dependent diabetes mellitus with neurological comps
Diabetes,C1082,Type I diabetes mellitus with neurological complications
Diabetes,C1083,Insulin dependent diabetes mellitus with multiple complicatn
Diabetes,C1084,Unstable insulin dependant diabetes mellitus
Diabetes,C1084,Unstable type I diabetes mellitus
Diabetes,C1084,Unstable type 1 diabetes mellitus
Diabetes,C1085,Type 1 diabetes mellitus with ulcer
Diabetes,C1085,Type I diabetes mellitus with ulcer
Diabetes,C1085,Insulin dependent diabetes mellitus with ulcer
Diabetes,C1086,Insulin dependent diabetes mellitus with gangrene
Diabetes,C1087,Type 1 diabetes mellitus with retinopathy
Diabetes,C1087,Insulin dependent diabetes mellitus with retinopathy
