category,readcode5B,desc
Psychosis resolved,212T.,"Psychosis, schizophrenia + bipolar affective disord resolved"
Psychosis resolved,212X.,Psychosis resolved
Psychosis,E0...,Organic psychotic conditions
Psychosis,E00..,Senile and presenile organic psychotic conditions
Psychosis,E000.,Uncomplicated senile dementia
Psychosis,E001.,Presenile dementia
Psychosis,E0010,Uncomplicated presenile dementia
Psychosis,E0011,Presenile dementia with delirium
Psychosis,E0012,Presenile dementia with paranoia
Psychosis,E0013,Presenile dementia with depression
Psychosis,E001z,Presenile dementia NOS
Psychosis,E002.,Senile dementia with depressive or paranoid features
Psychosis,E0020,Senile dementia with paranoia
Psychosis,E0021,Senile dementia with depression
Psychosis,E002z,Senile dementia with depressive or paranoid features NOS
Psychosis,E003.,Senile dementia with delirium
Psychosis,E004.,Arteriosclerotic dementia
Psychosis,E0040,Uncomplicated arteriosclerotic dementia
Psychosis,E0041,Arteriosclerotic dementia with delirium
Psychosis,E0042,Arteriosclerotic dementia with paranoia
Psychosis,E0043,Arteriosclerotic dementia with depression
Psychosis,E004z,Arteriosclerotic dementia NOS
Psychosis,E00y.,Other senile and presenile organic psychoses
Psychosis,E00z.,Senile or presenile psychoses NOS
Psychosis,E01..,Alcoholic psychoses
Psychosis,E010.,Alcohol withdrawal delirium
Psychosis,E011.,Alcohol amnestic syndrome
Psychosis,E0110,Korsakov's alcoholic psychosis
Psychosis,E0111,Korsakov's alcoholic psychosis with peripheral neuritis
Psychosis,E0112,Wernicke-Korsakov syndrome
Psychosis,E011z,Alcohol amnestic syndrome NOS
Psychosis,E012.,Other alcoholic dementia
Psychosis,E0120,Chronic alcoholic brain syndrome
Psychosis,E013.,Alcohol withdrawal hallucinosis
Psychosis,E014.,Pathological alcohol intoxication
Psychosis,E015.,Alcoholic paranoia
Psychosis,E01y.,Other alcoholic psychosis
Psychosis,E01y0,Alcohol withdrawal syndrome
Psychosis,E01yz,Other alcoholic psychosis NOS
Psychosis,E01z.,Alcoholic psychosis NOS
Psychosis,E02..,Drug psychoses
Psychosis,E020.,Drug withdrawal syndrome
Psychosis,E021.,Drug-induced paranoia or hallucinatory states
Psychosis,E0210,Drug-induced paranoid state
Psychosis,E0211,Drug-induced hallucinosis
Psychosis,E021z,Drug-induced paranoia or hallucinatory state NOS
Psychosis,E022.,Pathological drug intoxication
Psychosis,E023.,Nicotine withdrawal
Psychosis,E02y.,Other drug psychoses
Psychosis,E02y0,Drug-induced delirium
Psychosis,E02y1,Drug-induced dementia
Psychosis,E02y2,Drug-induced amnestic syndrome
Psychosis,E02y3,Drug-induced depressive state
Psychosis,E02y4,Drug-induced personality disorder
Psychosis,E02yz,Other drug psychoses NOS
Psychosis,E02z.,Drug psychosis NOS
Psychosis,E03..,Transient organic psychoses
Psychosis,E030.,Acute confusional state
Psychosis,E0300,"Acute confusional state, post traumatic"
Psychosis,E0301,"Acute confusional state, of infective origin"
Psychosis,E0302,"Acute confusional state, of endocrine origin"
Psychosis,E0303,"Acute confusional state, of metabolic origin"
Psychosis,E0304,"Acute confusional state, of cerebrovascular origin"
Psychosis,E030z,Acute confusional state NOS
Psychosis,E031.,Subacute confusional state
Psychosis,E0310,"Subacute confusional state, post traumatic"
Psychosis,E0311,"Subacute confusional state, of infective origin"
Psychosis,E0312,"Subacute confusional state, of endocrine origin"
Psychosis,E0313,"Subacute confusional state, of metabolic origin"
Psychosis,E0314,"Subacute confusional state, of cerebrovascular origin"
Psychosis,E031z,Subacute confusional state NOS
Psychosis,E03y.,Other transient organic psychoses
Psychosis,E03y0,Organic delusional syndrome
Psychosis,E03y1,Organic hallucinosis syndrome
Psychosis,E03y2,Organic affective syndrome
Psychosis,E03y3,Unspecified puerperal psychosis
Psychosis,E03yz,Other transient organic psychoses NOS
Psychosis,E03z.,Transient organic psychoses NOS
Psychosis,E04..,Other chronic organic psychoses
Psychosis,E040.,Non-alcoholic amnestic syndrome
Psychosis,E041.,Dementia in conditions EC
Psychosis,E042.,Chronic confusional state
Psychosis,E04y.,Other specified chronic organic psychoses
Psychosis,E04z.,Chronic organic psychosis NOS
Psychosis,E0y..,Other specified organic psychoses
Psychosis,E0z..,Organic psychoses NOS
Psychosis,E1...,Non-organic psychoses
Psychosis,E10..,Schizophrenic disorders
Psychosis,E100.,Simple schizophrenia
Psychosis,E1000,Unspecified schizophrenia
Psychosis,E1001,Subchronic schizophrenia
Psychosis,E1002,Chronic schizophrenic
Psychosis,E1003,Acute exacerbation of subchronic schizophrenia
Psychosis,E1004,Acute exacerbation of chronic schizophrenia
Psychosis,E1005,Schizophrenia in remission
Psychosis,E100z,Simple schizophrenia NOS
Psychosis,E101.,Hebephrenic schizophrenia
Psychosis,E1010,Unspecified hebephrenic schizophrenia
Psychosis,E1011,Subchronic hebephrenic schizophrenia
Psychosis,E1012,Chronic hebephrenic schizophrenia
Psychosis,E1013,Acute exacerbation of subchronic hebephrenic schizophrenia
Psychosis,E1014,Acute exacerbation of chronic hebephrenic schizophrenia
Psychosis,E1015,Hebephrenic schizophrenia in remission
Psychosis,E101z,Hebephrenic schizophrenia NOS
Psychosis,E102.,Catatonic schizophrenia
Psychosis,E1020,Unspecified catatonic schizophrenia
Psychosis,E1021,Subchronic catatonic schizophrenia
Psychosis,E1022,Chronic catatonic schizophrenia
Psychosis,E1023,Acute exacerbation of subchronic catatonic schizophrenia
Psychosis,E1024,Acute exacerbation of chronic catatonic schizophrenia
Psychosis,E1025,Catatonic schizophrenia in remission
Psychosis,E102z,Catatonic schizophrenia NOS
Psychosis,E103.,Paranoid schizophrenia
Psychosis,E1030,Unspecified paranoid schizophrenia
Psychosis,E1031,Subchronic paranoid schizophrenia
Psychosis,E1032,Chronic paranoid schizophrenia
Psychosis,E1033,Acute exacerbation of subchronic paranoid schizophrenia
Psychosis,E1034,Acute exacerbation of chronic paranoid schizophrenia
Psychosis,E1035,Paranoid schizophrenia in remission
Psychosis,E103z,Paranoid schizophrenia NOS
Psychosis,E104.,Acute schizophrenic episode
Psychosis,E105.,Latent schizophrenia
Psychosis,E1050,Unspecified latent schizophrenia
Psychosis,E1051,Subchronic latent schizophrenia
Psychosis,E1052,Chronic latent schizophrenia
Psychosis,E1053,Acute exacerbation of subchronic latent schizophrenia
Psychosis,E1054,Acute exacerbation of chronic latent schizophrenia
Psychosis,E1055,Latent schizophrenia in remission
Psychosis,E105z,Latent schizophrenia NOS
Psychosis,E106.,Residual schizophrenia
Psychosis,E107.,Schizo-affective schizophrenia
Psychosis,E1070,Unspecified schizo-affective schizophrenia
Psychosis,E1071,Subchronic schizo-affective schizophrenia
