readcode5B,desc
44Y9.,Blood oxygen saturation (calculated)
44YA.,Blood oxygen saturation
44YA0,Oxygen saturation at periphery
44YA0,SpO2 - Oxygen saturation at periphery
44YA1,Peripheral blood oxygen saturation on room air at rest
44YA2,Peripheral blood oxygen saturation on room air on exertion
44YA3,Peripheral blood oxygen saturation supplmentl oxygen at rest
44YA4,Peripheral bld ox saturation on supplemental ox on exertion
44YA5,Baseline SpO2 (oxygen saturation at periphery)
44YF.,Capillary oxygen saturation
44YF.,"Blood gases, capillary measurement"
44YZ.,Blood gases NOS
44l8.,Oxygenation index
745B3,Blood gas analysis
