category,readcode5B,desc
Antibiotics,e3...,BROAD SPECTRUM PENICILLINS
Antibiotics,e31..,AMOXICILLIN
Antibiotics,e311.,AMOXICILLIN 250mg capsules
Antibiotics,e312.,AMOXICILLIN 500mg capsules
Antibiotics,e313.,AMOXIDIN 250mg capsules
Antibiotics,e314.,AMOXIDIN 500mg capsules
Antibiotics,e315.,AMOXIL 250mg capsules
Antibiotics,e316.,AMOXIL 500mg capsules
Antibiotics,e317.,AMOXIL 500mg dispersible tablets
Antibiotics,e318.,AMOXIL 125mg/5mL syrup
Antibiotics,e319.,AMOXIL SF 125mg/5mL syrup
Antibiotics,e31A.,AMIX 125mg/5mL suspension
Antibiotics,e31B.,AMIX 250mg/5mL suspension
Antibiotics,e31C.,AMRIT 125mg/5mL suspension
Antibiotics,e31D.,AMRIT 250mg/5mL suspension
Antibiotics,e31E.,AMRIT 250mg capsules
Antibiotics,e31F.,AMRIT 500mg capsules
Antibiotics,e31G.,AMOPEN 250mg capsules
Antibiotics,e31H.,AMOPEN 500mg capsules
Antibiotics,e31I.,AMOPEN 125mg/5mL suspension
Antibiotics,e31J.,AMOPEN 250mg/5mL suspension
Antibiotics,e31K.,FLEMOXIN SOLUTAB 375mg dispersible tablets
Antibiotics,e31L.,FLEMOXIN SOLUTAB 750mg dispersible tablets
Antibiotics,e31M.,AMOXIL FIZTAB 125mg chewable tablets
Antibiotics,e31N.,AMOXIL FIZTAB 250mg chewable tablets
Antibiotics,e31O.,AMOXIL FIZTAB 500mg chewable tablets
Antibiotics,e31P.,AUGMENTIN 250/62 in 5mL suspension
Antibiotics,e31Q.,CO-AMOXICLAV 125/31mg in 5mL suspension
Antibiotics,e31R.,AMOXYMED 250mg capsules
Antibiotics,e31S.,AMOXYMED 125mg/5mL syrup
Antibiotics,e31T.,AUGMENTIN 625mg tablets
Antibiotics,e31U.,CO-AMOXICLAV 625mg tablets
Antibiotics,e31V.,ALMODAN 125mg/5mL sugar free syrup
Antibiotics,e31W.,ALMODAN 250mg/5mL sugar free syrup
Antibiotics,e31X.,CO-AMOXICLAV 400/57mg in 5mL sugar free suspension
Antibiotics,e31Y.,AUGMENTIN-DUO 400/57 in 5mL sugar free suspension
Antibiotics,e31a.,AMOXIL SF 250mg/5mL syrup
Antibiotics,e31c.,AMOXIL SF 750mg sachets
Antibiotics,e31d.,AMOXIL SF 3g sachets
Antibiotics,e31h.,AUGMENTIN 375mg tablets
Antibiotics,e31i.,AUGMENTIN 375mg dispersible tablets
Antibiotics,e31n.,ALMODAN 250mg capsules
Antibiotics,e31o.,ALMODAN 500mg capsules
Antibiotics,e31p.,ALMODAN 125mg/5mL syrup
Antibiotics,e31q.,ALMODAN 250mg/5mL syrup
Antibiotics,e31t.,CO-AMOXICLAV 375mg tablets
Antibiotics,e31u.,CO-AMOXICLAV 375mg dispersible tablets
Antibiotics,e31v.,CO-AMOXICLAV 125mg/5mL suspension
Antibiotics,e31w.,CO-AMOXICLAV 125mg/mL suspension
Antibiotics,e31z.,CO-AMOXICLAV 250/62 in 5mL suspension
Antibiotics,e32..,AMPICILLIN
Antibiotics,e321.,AMPICILLIN 250mg capsules
Antibiotics,e322.,AMPICILLIN 500mg capsules
Antibiotics,e323.,AMPICILLIN 125mg/5mL mixture
Antibiotics,e324.,AMPICILLIN 250mg/5mL oral suspension
Antibiotics,e325.,AMFIPEN 250mg capsules
Antibiotics,e326.,AMFIPEN 500mg capsules
Antibiotics,e327.,AMFIPEN 125mg/5mL syrup
Antibiotics,e328.,AMFIPEN 250mg/5mL syrup
Antibiotics,e32A.,RIMACILLIN 250mg capsules
Antibiotics,e32B.,RIMACILLIN 500mg capsules
Antibiotics,e32C.,RIMACILLIN 125mg/5mL syrup
Antibiotics,e32D.,RIMACILLIN 250mg/5mL syrup
Antibiotics,e32H.,AMPICILLIN 125mg/5mL sugar free suspension
Antibiotics,e32J.,AMPICILLIN 250mg/5mL sugar free suspension
Antibiotics,e32K.,AMPICILLIN 125mg/5mL oral suspension
Antibiotics,e32b.,AMPILAR 250mg capsules
Antibiotics,e32c.,AMPILAR 500mg capsules
Antibiotics,e32d.,AMPILAR 125mg/5mL syrup
Antibiotics,e32e.,AMPILAR 250mg/5mL syrup
Antibiotics,e32f.,BRITCIN 250mg capsules
Antibiotics,e32g.,BRITCIN 500mg capsules
Antibiotics,e32h.,PENBRITIN 250mg capsules
Antibiotics,e32i.,PENBRITIN 500mg capsules
Antibiotics,e32j.,PENBRITIN 125mg tablets
Antibiotics,e32k.,PENBRITIN 125mg/5mL syrup
Antibiotics,e32l.,PENBRITIN 250mg/5mL syrup
Antibiotics,e32p.,VIDOPEN 250mg capsules
Antibiotics,e32q.,VIDOPEN 500mg capsules
Antibiotics,e32r.,VIDOPEN 125mg/5mL syrup
Antibiotics,e32s.,VIDOPEN 250mg/5mL syrup
Antibiotics,e32v.,AMPITRIN 250mg capsules
Antibiotics,e32w.,AMPITRIN 500mg capsules
Antibiotics,e32x.,AMPITRIN 125mg/5mL oral suspension
Antibiotics,e32y.,AMPITRIN 250mg/5mL oral suspension
Antibiotics,e32z.,AMPICILLIN 125mg tablets
Antibiotics,e33..,AMPICILLIN + PENICILLINASE-RESISTANT PENICILLIN
Antibiotics,e334.,FLU-AMP 250/250mg capsules
Antibiotics,e335.,MAGNAPEN 500mg capsules
Antibiotics,e336.,MAGNAPEN 250mg/5mL syrup
Antibiotics,e339.,CO-FLUAMPICIL 250mg/250mg capsules
Antibiotics,e33a.,CO-FLUAMPICIL 125/125mg syrup
Antibiotics,e33h.,UNASYN 375mg tablets
Antibiotics,e33i.,SULTAMICILLIN 375mg tablets
Antibiotics,e33k.,AMPICLOX 500mg capsules
Antibiotics,e33l.,AMPICLOX 250mg/5mL syrup
Antibiotics,e33n.,AMPICILLIN+CLOXACILLIN 60mg/30mg/0.6mL sugar free suspension
Antibiotics,e33p.,AMPICILLIN+CLOXACILLIN 125mg/125mg/5mL syrup
Antibiotics,e33q.,AMPICILLIN+CLOXACILLIN 250mg/250mg/5mL syrup
Antibiotics,e33r.,AMPICILLIN+CLOXACILLIN 250mg/250mg capsules
Antibiotics,e34..,BACAMPICILLIN HYDROCHLORIDE
Antibiotics,e341.,AMBAXIN 400mg tablets
Antibiotics,e34z.,BACAMPICILLIN HCL 400mg tablets
Antibiotics,e35..,CICLACILLIN
Antibiotics,e351.,CALTHOR 250mg tablets
Antibiotics,e352.,CALTHOR 500mg tablets
Antibiotics,e353.,CALTHOR 125mg/5mL suspension
Antibiotics,e354.,CALTHOR 250mg/5mL suspension
Antibiotics,e35w.,CICLACILLIN 250mg tablets
Antibiotics,e35x.,CICLACILLIN 500mg tablets
Antibiotics,e35y.,CICLACILLIN 125mg/5mL suspension
Antibiotics,e35z.,CICLACILLIN 250mg/5mL suspension
Antibiotics,e381.,PONDOCILLIN 500mg tablets
Antibiotics,e382.,PONDOCILLIN 175mg/5mL suspension 50mL
Antibiotics,e383.,PONDOCILLIN 175mg/5mL suspension 100mL
Antibiotics,e384.,PONDOCILLIN 175mg/sachet granules
Antibiotics,e385.,MIRAXID 225mg tablets
Antibiotics,e386.,MIRAXID-450 tablets
Antibiotics,e388.,PONDOCILLIN PLUS tablets
Antibiotics,e389.,PIVAMPICILLIN+PIVMECILLINAM 125mg/100mg tablets
Antibiotics,e38A.,PIVAMPICILLIN+PIVMECILLINAM 250mg/200mg tablets
Antibiotics,e38u.,PIVAMPICILLIN 175mg/5mL sugar free suspension 50mL
Antibiotics,e38v.,PIVAMPICILLIN 175mg/5mL sugar free suspension 100mL
Antibiotics,e38w.,PIVAMPICILLIN 175mg/sachet granules
Antibiotics,e38x.,PIVAMPICILLIN 500mg tablets
Antibiotics,e38y.,PIVAMPICILLIN 162mg/5mL suspension
Antibiotics,e38z.,PIVAMPICILLIN 162mg sachet
Antibiotics,e39..,TALAMPICILLIN HYDROCHLORIDE
Antibiotics,e391.,TALPEN 250mg tablets
Antibiotics,e392.,TALPEN 125mg/5mL syrup
Antibiotics,e39y.,TALAMPICILLIN 250mg tablets
Antibiotics,e39z.,TALAMPICILLIN 125mg/5mL syrup
Antibiotics,e3A..,AMOXICILLIN [2]
Antibiotics,e3A1.,RESPILLIN 250mg capsules
Antibiotics,e3A2.,RESPILLIN 500mg capsules
Antibiotics,e3A3.,RESPILLIN 125mg/5mL oral suspension
Antibiotics,e3A4.,RESPILLIN 250mg/5mL oral suspension
Antibiotics,e3A5.,RESPILLIN 125mg/5mL sugar free suspension
Antibiotics,e3A6.,RESPILLIN 250mg/5mL sugar free suspension
Antibiotics,e3A7.,AMICLAV 250mg/125mg tablets
Antibiotics,e3A8.,RANCLAV 375mg tablets
Antibiotics,e3A9.,RANCLAV 625mg tablets
Antibiotics,e3AA.,RANCLAV 125mg/31mg sugar free suspension
