readcode5B,desc
8FA..,Pulmonary rehabilitation
8FA0.,Assessment for pulmonary rehabilitation completed
8FA1.,Pulmonary rehabilitation programme commenced
8FA2.,Pulmonary rehabilitation programme completed
8H7u.,Referral to pulmonary rehabilitation
8I86.,Did not complete pulmonary rehabilitation programme
8I97.,Pulmonary rehabilitation programme not available
8IA9.,Pulmonary rehabilitation declined
9kf0.,COPD patient unsuitable for pulmonary rehab - enh serv admin
9kf0.,COPD patient unsuitable for pulmonary rehabilitation
9NSL.,Pulmonary rehabilitation offered
Z678.,Pulmonary rehabilitation class
