category,readcode5B,desc
Annual review,66YJ.,Asthma annual review
Oral Steroids,fe6..,PREDNISOLONE [ENDOCRINE]
Oral Steroids,fe61.,PREDNISOLONE 1mg tablets
Oral Steroids,fe62.,PREDNISOLONE 5mg tablets
Oral Steroids,fe64.,DELTA-PHORICOL 5mg tablets
Oral Steroids,fe65.,DELTACORTRIL ENTERIC 2.5mg tablets
Oral Steroids,fe66.,DELTACORTRIL ENTERIC 5mg tablets
Oral Steroids,fe67.,DELTALONE 1mg tablets
Oral Steroids,fe68.,DELTALONE 5mg tablets
Oral Steroids,fe69.,DELTASTAB 1mg tablets
Oral Steroids,fe6a.,DELTASTAB 5mg tablets
Oral Steroids,fe6c.,PRECORTISYL 1mg tablets
Oral Steroids,fe6d.,PRECORTISYL 5mg tablets
Oral Steroids,fe6e.,PRECORTISYL FORTE 25mg tablets
Oral Steroids,fe6f.,PREDNESOL 5mg tablets
Oral Steroids,fe6g.,SINTISONE 5mg tablets
Oral Steroids,fe6h.,PREDNISOLONE 2.5mg e/c tablets
Oral Steroids,fe6i.,PREDNISOLONE 5mg e/c tablets
Oral Steroids,fe6j.,PREDNISOLONE 5mg soluble tablets
Oral Steroids,fe6k.,PREDNISOLONE 50mg tablets
Oral Steroids,fe6l.,DILACORT 5mg gastro-resistant tablets
Oral Steroids,fe6m.,DILACORT 2.5mg gastro-resistant tablets
Oral Steroids,fe6s.,PREDNISOLONE 20mg tablets
Oral Steroids,fe6v.,PREDNISOLONE 2.5mg tablets
Oral Steroids,fe6w.,PREDNISOLONE 2.5mg tablets
Oral Steroids,fe6z.,PREDNISOLONE 25mg tablets
Oral Steroids,fe7..,PREDNISONE
Oral Steroids,fe71.,PREDNISONE 1mg tablets
Oral Steroids,fe72.,PREDNISONE 5mg tablets
Oral Steroids,fe73.,DECORTISYL 5mg tablets
Oral Steroids,fe74.,ECONOSONE 1mg tablets
Oral Steroids,fe75.,ECONOSONE 5mg tablets
Oral Steroids,fe77.,LODOTRA 2mg m/r tablets
Oral Steroids,fe78.,LODOTRA 5mg m/r tablets
Oral Steroids,fe79.,LODOTRA 1mg m/r tablets
Oral Steroids,fe7x.,PREDNISONE 5mg m/r tablets
Oral Steroids,fe7y.,PREDNISONE 2mg m/r tablets
Oral Steroids,fe7z.,PREDNISONE 1mg m/r tablets
