readcode5B,desc
c1E..,SALBUTAMOL [INHALATION PREPRATIONS 2]
c1E1.,SALAMOL EASI-BREATHE 100mcg CFC-free breath-act aerosol inh
c1E2.,PULVINAL SALBUTAMOL 200mcg breath-act dry powder inhaler
c1E3.,VENTODISKS 200micrograms diskhaler 15x8
c1E4.,VENTODISKS 400micrograms diskhaler 15x8
c1E5.,VENTODISKS 200micrograms disk refill 15x8
c1E6.,VENTODISKS 400micrograms disk refill 15x8
c1E7.,EASYHALER SALBUTAMOL 100mcg breath-actuated dry powder inh
c1E8.,EASYHALER SALBUTAMOL 200mcg breath-actuated dry powder inh
c1E9.,SALBULIN NOVOLIZER 100micrograms cartridge and inhaler
c1EA.,SALBUTAMOL 100micrograms dry powder cartridge and inhaler
c1EB.,SALBULIN NOVOLIZER 100micrograms dry powder cartridge refill
c1EC.,SALBUTAMOL 100micrograms dry powder cartridge refill
c1ED.,VENTOLIN 50mg/10mL respirator solution
c1EE.,SALBUTAMOL 50mg/10mL respirator solution
c1a..,TULOBUTEROL HYDROCHLORIDE
c1a1.,TULOBUTEROL 2mg tablets
c1a2.,BRELOMAX 2mg tablets
c1a3.,RESPACAL 2mg tablets
c1a4.,TULOBUTEROL 1mg/5mL sugar free liquid
c1a5.,RESPACAL 1mg/5mL sugar free liquid
