category,readcode5B,desc
ICS,c6...,CORTICOSTEROIDS [RESPIRATORY USE]
ICS,c61..,BECLOMETASONE DIPROPIONATE [RESPIRATORY USE]
ICS,c611.,BECLOFORTE 250microgram inhaler
ICS,c612.,BECOTIDE-50 50microgram inhaler
ICS,c613.,BECOTIDE 100micrograms rotacaps
ICS,c614.,BECOTIDE 200micrograms rotacaps
ICS,c615.,BECOTIDE rotahaler device
ICS,c616.,BECOTIDE 50micrograms/mL nebuliser solution
ICS,c617.,BECOTIDE-100 100microgram inhaler
ICS,c619.,BECODISK 100micrograms diskhaler 14x8
ICS,c61A.,BECLOMETASONE DIPROPIONATE 400micrograms disks+disk inhaler
ICS,c61B.,BECLOMETASONE DIPROPIONATE 400micrograms disk refill
ICS,c61C.,BECLOMETHASONE DIPROPIONATE 250mcg inhaler+spacer device
ICS,c61D.,BECLOMETASONE DIPROP 50mcg breath-actuated aerosol inhaler
ICS,c61E.,BECLOMETASONE DIPROP 250mcg breath-actuated aerosol inhaler
ICS,c61F.,BECLOMETASONE DIPROP 100mcg breath-actuated aerosol inhaler
ICS,c61G.,FILAIR 50micrograms inhaler
ICS,c61H.,FILAIR 100micrograms inhaler
ICS,c61J.,FILAIR FORTE 250micrograms inhaler
ICS,c61K.,BECLAZONE 50micrograms inhaler
ICS,c61L.,BECLAZONE 100micrograms inhaler
ICS,c61M.,BECLAZONE 250micrograms inhaler
ICS,c61N.,BECLAZONE 50 EASI-BREATHE inhaler
ICS,c61O.,BECLAZONE 100 EASI-BREATHE inhaler
ICS,c61P.,BECLAZONE 250 EASI-BREATHE inhaler
ICS,c61Q.,BECLOFORTE INTEGRA 250micrograms inhaler+compact spacer
ICS,c61R.,BECLOFORTE INTEGRA 250micrograms refill
ICS,c61S.,BECLOMETHASONE DIPROPIONATE 250mcg inhaler+compact spacer
ICS,c61T.,BECLOMETHASONE DIPROPIONATE 250mcg compact spacer refill
ICS,c61U.,BECLOMETHASONE rotahaler device
ICS,c61V.,BECLOMETHASONE DIPROPIONATE 50mcg vortex metered dose inh
ICS,c61W.,BDP 50micrograms Spacehaler
ICS,c61X.,BECLOMETHASONE DIPROPIONATE 100mcg vortex metered dose inh
ICS,c61Y.,BDP 100micrograms Spacehaler
ICS,c61Z.,BECLOMETHASONE DIPROPIONATE 250mcg vortex metered dose inh
ICS,c61a.,BECODISK 200micrograms diskhaler 14x8
ICS,c61b.,BECOTIDE 400micrograms rotacaps
ICS,c61c.,BECODISK 100micrograms disk refill 14x8
ICS,c61d.,BECODISK 200micrograms disk refill 14x8
ICS,c61e.,BECODISK 400micrograms diskhaler 7x8
ICS,c61f.,BECODISK 400micrograms disk refill 7x8
ICS,c61g.,BECLOFORTE VM 250micrograms inhaler+volumatic
ICS,c61h.,BECLOMETASONE DIPROPIONATE 400micrograms inhalation capsules
ICS,c61i.,BECOTIDE-200 200microgram inhaler
ICS,c61j.,AEROBEC 50microgram Autohaler
ICS,c61k.,AEROBEC FORTE 250micrograms Autohaler
ICS,c61l.,AEROBEC 100microgram Autohaler
ICS,c61m.,BECLOFORTE DISKHALER 400micrograms 14x8
ICS,c61n.,BECLOFORTE DISKS 400micrograms disk refill 14x8
ICS,c61p.,BECLOMETASONE DIPROPIONATE 100micrograms disks+disk inhaler
ICS,c61q.,BECLOMETASONE DIPROPIONATE 200micrograms disks+disk inhaler
ICS,c61r.,BECLOMETASONE DIPROPIONATE 100micrograms disk refill
ICS,c61s.,BECLOMETASONE DIPROPIONATE 200micrograms disk refill
ICS,c61t.,BECLOMETASONE DIPROPIONATE 250micrograms inhaler
ICS,c61u.,BECLOMETASONE DIPROPIONATE 200micrograms inhaler
ICS,c61v.,BECLOMETASONE DIPROPIONATE 50micrograms inhaler
ICS,c61w.,BECLOMETASONE DIPROPIONATE 100micrograms inhalation capsules
ICS,c61x.,BECLOMETASONE DIPROPIONATE 200micrograms inhalation capsules
ICS,c61y.,BECLOMETHASONE DIPROPIONATE 50mcg/mL nebuliser solution
ICS,c61z.,BECLOMETASONE DIPROPIONATE 100micrograms inhaler
ICS,c62..,BECLOMETASONE COMPOUNDS
ICS,c621.,VENTIDE inhaler
ICS,c622.,VENTIDE Rotacaps
ICS,c623.,VENTIDE paediatric Rotacaps
ICS,c624.,VENTIDE Rotahaler device
ICS,c63..,BETAMETHASONE VALERATE
ICS,c631.,BEXTASOL 100microgram inhaler
ICS,c63z.,BETAMETHASONE 100micrograms inhaler
ICS,c64..,BUDESONIDE [RESPIRATORY USE]
ICS,c641.,PULMICORT 200micrograms inhaler 200dose
ICS,c642.,PULMICORT 200micrograms refill 100dose
ICS,c643.,PULMICORT 200micrograms refill 200dose
