category,readcode5B,desc
Behavioural change intervention,13p..,Smoking cessation milestones
Behavioural change intervention,13p0.,Negotiated date for cessation of smoking
Behavioural change intervention,13p5.,Smoking cessation programme start date
Behavioural change intervention,13p50,Practice based smoking cessation programme start date
Behavioural change intervention,13p8.,Lost to smoking cessation follow-up
Behavioural change intervention,67H6.,Brief intervention for smoking cessation
Behavioural change intervention,745H.,Smoking cessation therapy
Behavioural change intervention,745Hy,Other specified smoking cessation therapy
Behavioural change intervention,8CAL.,Smoking cessation advice
Behavioural change intervention,8CAg.,Smoking cessation advice provided by community pharmacist
Behavioural change intervention,8H7i.,Referral to smoking cessation advisor
Behavioural change intervention,8HBM.,Stop smoking face to face follow-up
Behavioural change intervention,8HBP.,Smoking cessation 12 week follow-up
Behavioural change intervention,8HTK.,Referral to stop-smoking clinic
Behavioural change intervention,8HkQ.,Referral to NHS stop smoking service
Behavioural change intervention,8IAj.,Smoking cessation advice declined
Behavioural change intervention,8IEK.,Smoking cessation programme declined
Behavioural change intervention,8IEM.,Smoking cessation drug therapy declined
Behavioural change intervention,8IEo.,Referral to smoking cessation service declined
Behavioural change intervention,8T08.,Referral to smoking cessation service
Behavioural change intervention,9N2k.,Seen by smoking cessation advisor
Behavioural change intervention,9N4M.,DNA - Did not attend smoking cessation clinic
Behavioural change intervention,9NS02,Referral for smoking cessation service offered
Behavioural change intervention,9NdV.,Consent given follow-up after smoking cessation intervention
Behavioural change intervention,9NdW.,Consent given for smoking cessation data sharing
Behavioural change intervention,9NdY.,Declin cons follow-up evaluation after smoking cess interven
Behavioural change intervention,9NdZ.,Declined consent for smoking cessation data sharing
Behavioural change intervention,9Ndf.,Consent given for follow-up by smoking cessation team
Behavioural change intervention,9Ndg.,Declined consent for follow-up by smoking cessation team
Behavioural change intervention,9OO..,Stop smoking clinic admin.
Behavioural change intervention,9OO..,Stop smoking monitoring admin.
Behavioural change intervention,9OO1.,Attends stop smoking monitor.
Behavioural change intervention,9OO2.,Refuses stop smoking monitor
Behavioural change intervention,9OO3.,Stop smoking monitor default
Behavioural change intervention,9OO8.,Stop smoking monitor phone inv
Behavioural change intervention,9OO9.,Stop smoking monitoring delete
Behavioural change intervention,9OOA.,Stop smoking monitor.chck done
Behavioural change intervention,9OOZ.,Stop smoking monitor admin.NOS
Behavioural change intervention,9kc..,Smoking cessation - enhanced services administration
Behavioural change intervention,9kc0.,Smoking cessation ESA monitoring template completed
Behavioural change intervention,9kc0.,Smoking cessatn monitor template complet - enhanc serv admin
Drug,745H0,Nicotine replacement therapy using nicotine patches
Drug,745H1,Nicotine replacement therapy using nicotine gum
Drug,745H2,Nicotine replacement therapy using nicotine inhalator
Drug,745H3,Nicotine replacement therapy using nicotine lozenges
Drug,745H4,Smoking cessation drug therapy
Drug,745Hz,Smoking cessation therapy NOS
Drug,8B2B.,Nicotine replacement therapy
Drug,8B2B0,Issue of nicotine replacement therapy voucher
Drug,8B31G,Varenicline smoking cessation therapy offered
Drug,8B3Y.,Over the counter nicotine replacement therapy
Drug,8B3f.,Nicotine replacement therapy provided free
Drug,8BP3.,Nicotine replacement therapy provided by community pharmacis
Drug,8I2I.,Nicotine replacement therapy contraindicated
Drug,8I39.,Nicotine replacement therapy refused
Drug,du3..,NICOTINE
Drug,du31.,NICOTINE 2mg chewing gum
Drug,du32.,NICOTINE 4mg chewing gum
Drug,du33.,NICORETTE 2mg chewing gum
Drug,du34.,NICORETTE 4mg chewing gum
Drug,du35.,NICOTINELL TTS 10 patches
Drug,du36.,NICOTINELL TTS 20 patches
Drug,du37.,NICOTINELL TTS 30 patches
Drug,du38.,NICOTINE 7mg/24hours patches
Drug,du39.,NICOTINE 14mg/24hours patches
Drug,du3A.,NICOTINE 21mg/24hours patches
Drug,du3B.,NICORETTE 5mg patches x7
Drug,du3C.,NICORETTE 10mg patches x7
