readcode5B,desc
14F1.,H/O: eczema
26C4.,Nipple eczema
8HTu.,Referral to eczema clinic
F4D30,Eczematous eyelid dermatitis
F4D31,Contact or allergic eyelid dermatitis
F4D31,Allergic dermatitis - eyelid
F4D31,Contact eczema - eyelids
F5024,Acute eczematoid otitis extern
F5024,Eczema of external ear
G831.,Varicose veins of the leg with eczema
G831.,Varicose eczema
G832.,Varicose veins of the leg with ulcer and eczema
M07y.,Pustular eczema
M101.,Seborrhoeic eczema
M102.,Infectious eczematoid dermatitis
M102.,Pustular eczema
M111.,Atopic dermatitis/eczema
M112.,Infantile eczema
M113.,Flexural eczema
M114.,Allergic (intrinsic) eczema
M119.,Discoid eczema
M12..,Contact eczema
M12z1,Eczema NOS
M12z1,Discoid eczema
M12z2,Infected eczema
M12z3,Hand eczema
Myu2.,[X]Dermatitis and eczema
Myu22,[X]Exacerbation of eczema
