readcode5B,desc
13WT1,Child protect catgry emotional
1469.,H/O: behaviour problem
14X2.,History of emotional abuse
14X7.,Victim of emotional abuse
14XD0,H/O domestic emotional abuse
1B1J.,Emotional problem
1B1J.,Emotional upset
1B1J1,Emotional behavioural difficlt
1B1J1,Emotional behavioural difficlt
1B1X.,Behavioural problem
1BO..,Mood swings
1BT..,Sad mood
1BT..,Low mood
1BT..,Depressed mood
1BY..,Elevated mood
1FN..,Emotional eating
1P...,Behaviours & obs rel to behav
1P00.,Hyperactive behaviour
1P02.,Disinhibited behaviour
1P10.,Clinging behaviour
1P11.,Uncooperative behaviour
1P3..,Compulsive behaviour
1P5..,Aggressive behaviour
1P51.,Physically abusive behaviour
1P52.,Verbally abusive behaviour
1P53.,Argumentative behaviour
1PE..,Sexual behaviour
1PE0.,Inappropriate sexual behaviour
1S4..,Mood observations
1S40.,Dysphoric mood
1S41.,Ecstatic mood
1S42.,Manic mood
1V...,Drug misuse behaviour
1V3..,Drug injection behaviour
1V6..,Drug-relat offending behaviour
28C..,O/E - embarrassing behaviour
28C..,O/E - irreverent behaviour
28L..,O/E - impulsive behaviour
3AB1.,Mildy abnormal behaviour
3AB2.,Severely abnormal behaviour
3AB3.,Change in behaviour
66520,Emotional state observations
7L1a.,Cognitive behavioural therapy
7L1ay,OS cognitive behaviour therapy
7L1az,Cognitive behaviour therap NOS
8G10.,Psychotherapy - behavioural
8G101,Dialectical behaviour therapy
8G102,Behavioural parent training
8G13.,Cognitive-behaviour therapy
8Q...,Behaviour management
9N4r.,DNA cognitive behaviour therap
9bA2.,Child/adolescent psychiatry
9c0S.,Emotional environment
E11z1,Rebound mood swings
E2152,Emotionally unstable personal.
E2C..,Behaviour disorder
E2D..,Child/adolescent emotion prob
E2D..,Child - emotional problem
E2D..,Adolescent - emotional problem
E2D..,Adolescent - emotional problem
E2Dy.,Other childhood emotional prob
E2Dyz,Other child emotional prob.NOS
Eu...,[X]Mental+behavioural disorder
Eu053,[X]Organ mood [affective] dis
Eu3..,[X]Mood - affective disorders
Eu302,[X]Mania+mood-incong psych sym
Eu302,[X]Mania+mood-cong psychot sym
Eu34.,[X]Persist mood affectve dis
Eu34y,[X]Oth persist mood affec dis
Eu34z,[X]Persis mood affect dis uns
Eu3y.,[X]Other mood affective disord
Eu3y0,[X]Oth single mood affect dis
Eu3y1,[X]Oth recurr mood affect dis
Eu3yy,[X]Oth spec mood affect disord
Eu3z.,[X]Unspec mood affective dis
Eu51z,[X]Emotional sleep disord NOS
Eu91z,[X]Child behaviour disord NOS
Eu92.,[X]Emotion behavioural problem
Eu93y,[X]Oth chldhd emotional disord
SN550,"Emotional maltreatment, child"
SN550,Emotional deprivation of child
SN550,Emotional abuse of child
ZV40.,[V]Behavioural problems
ZV40.,[V]Mental/behavioural problems
ZV403,[V]Other behavioural problems
ZV40y,[V]OS mental/behavioural probl
ZV40z,[V]Unsp.mental/behaviour probs
ZV4H3,[V]Emotional neglect of child
ZV4K4,[V]High-risk sexual behaviour
